country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Mexico,,,,,,,,,,,,0,0,0,0,0,
Morocco,,,,,,,,0,,,,,,,2,1,2
Mozambique,,,,,,,,,896,1190,1370,3400,4210,3490,4150,4210,5040
Myanmar,,,,,,,3420,2940,3180,3650,2760,2810,2630,2480,1980,1710,1650
Namibia,,,,,,250,469,547,404,531,918,1730,1500,1110,1190,1330,571
Nepal,,,,,0,0,15,2,7,,0,1,3,5,7,10,42
Nicaragua,,,,,,,,,,,,2,8,7,1,6,1
Niger,,,,,,,,1020,1820,2170,1010,4020,2430,3140,1380,9960,2570
Nigeria,2280,1950,1070,710,1690,3270,4770,4600,6200,4120,5670,4320,4090,5340,6030,6490,6590
North Korea,,,,,,,,,,,,0,0,0,,,
Pakistan,,,,,,,,,,,,,,29,,52,9
Panama,,,,,,,,,,,,0,2,3,3,,
Papua New Guinea,457,,500,448,281,415,514,390,651,567,617,619,678,559,644,731,668
Paraguay,,,,,,,,,,,,0,0,0,0,,
Peru,,,,,,,,,,,,25,12,25,12,,
Philippines,913,924,864,811,784,643,536,514,561,755,536,439,98,162,167,145,109
Russia,1,1,,1,3,2,3,4,,3,2,,2,,,,
Rwanda,,,,,,,,,2740,1880,2680,4300,3200,2710,2370,2590,2350
Sao Tome and Principe,,,,,,,,,154,,,248,321,193,168,85,26
Saudi Arabia,,,,,,,,6,28,,,0,0,0,0,0,0
Senegal,,,,,,,,1210,1030,1240,1340,1520,1230,1600,1520,1590,1680
Sierra Leone,,,,,,,,,,,,280,428,112,98,36,70
Solomon Islands,33,46,33,40,49,51,30,27,33,23,38,55,59,71,34,38,12
Somalia,,,,,,,,,,,,,8,54,79,15,58
South Africa,35,19,14,45,12,44,163,104,198,406,458,119,96,142,89,64,87
South Korea,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
Sri Lanka,,,,,,,26,61,115,,,53,30,2,2,0,0
Sudan,,,,,932,,1940,1830,1960,2620,2160,2250,2130,2480,1810,1700,99
Suriname,,,,,,,,,,,,23,16,18,7,2,1
Syria,,,,,,,,,,,,,0,,0,2,2
Tajikistan,,,,,,,,7,0,,,0,0,0,,,
Tanzania,,,,,,,,,,,,838,441,14900,19600,18100,20800
Thailand,1290,,,,,,826,764,688,740,625,424,361,325,230,71,113
Togo,,,,,,,,,475,766,883,1390,1660,1130,1180,1020,819
Turkey,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,
Turkmenistan,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,
Uganda,,,,,,,,,,,,,,8450,,77000,47000
Uzbekistan,0,1,0,1,0,0,0,0,,0,,0,0,0,0,0,0
Vanuatu,32,32,26,13,8,4,0,0,0,0,,2,8,8,1,10,6
Vietnam,3340,4650,2630,1030,604,348,203,152,183,190,148,91,50,50,24,18,41
Yemen,,,,,,,,,,,,,,29,,,73
Zambia,4860,5000,3320,4690,5780,,,,,8580,3270,9370,9020,9180,8290,7740,6480
Zimbabwe,,,,,,,,1190,1250,1140,1790,412,1840,1040,1810,1920,
